KO	Pathway	Pathway Name
K00844	ko00010	Glycolysis / Gluconeogenesis
K12407	ko00010	Glycolysis / Gluconeogenesis
K00845	ko00010	Glycolysis / Gluconeogenesis
K25026	ko00010	Glycolysis / Gluconeogenesis
K01810	ko00010	Glycolysis / Gluconeogenesis
K06859	ko00010	Glycolysis / Gluconeogenesis
K13810	ko00010	Glycolysis / Gluconeogenesis
K15916	ko00010	Glycolysis / Gluconeogenesis
K24182	ko00010	Glycolysis / Gluconeogenesis
K00850	ko00010	Glycolysis / Gluconeogenesis
K16370	ko00010	Glycolysis / Gluconeogenesis
K21071	ko00010	Glycolysis / Gluconeogenesis
K00918	ko00010	Glycolysis / Gluconeogenesis
K00895	ko00010	Glycolysis / Gluconeogenesis
K03841	ko00010	Glycolysis / Gluconeogenesis
K02446	ko00010	Glycolysis / Gluconeogenesis
K11532	ko00010	Glycolysis / Gluconeogenesis
K01086	ko00010	Glycolysis / Gluconeogenesis
K04041	ko00010	Glycolysis / Gluconeogenesis
K01623	ko00010	Glycolysis / Gluconeogenesis
K11645	ko00010	Glycolysis / Gluconeogenesis
K01624	ko00010	Glycolysis / Gluconeogenesis
K01622	ko00010	Glycolysis / Gluconeogenesis
K16305	ko00010	Glycolysis / Gluconeogenesis
K16306	ko00010	Glycolysis / Gluconeogenesis
K01803	ko00010	Glycolysis / Gluconeogenesis
K00134	ko00010	Glycolysis / Gluconeogenesis
K10705	ko00010	Glycolysis / Gluconeogenesis
K00150	ko00010	Glycolysis / Gluconeogenesis
K00927	ko00010	Glycolysis / Gluconeogenesis
K01834	ko00010	Glycolysis / Gluconeogenesis
K15634	ko00010	Glycolysis / Gluconeogenesis
K15633	ko00010	Glycolysis / Gluconeogenesis
K15635	ko00010	Glycolysis / Gluconeogenesis
K01689	ko00010	Glycolysis / Gluconeogenesis
K00873	ko00010	Glycolysis / Gluconeogenesis
K12406	ko00010	Glycolysis / Gluconeogenesis
K01006	ko00010	Glycolysis / Gluconeogenesis
K01007	ko00010	Glycolysis / Gluconeogenesis
K00163	ko00010	Glycolysis / Gluconeogenesis
K00161	ko00010	Glycolysis / Gluconeogenesis
K00162	ko00010	Glycolysis / Gluconeogenesis
K00627	ko00010	Glycolysis / Gluconeogenesis
K00382	ko00010	Glycolysis / Gluconeogenesis
K13997	ko00010	Glycolysis / Gluconeogenesis
K00169	ko00010	Glycolysis / Gluconeogenesis
K00170	ko00010	Glycolysis / Gluconeogenesis
K00172	ko00010	Glycolysis / Gluconeogenesis
K00189	ko00010	Glycolysis / Gluconeogenesis
K00171	ko00010	Glycolysis / Gluconeogenesis
K03737	ko00010	Glycolysis / Gluconeogenesis
K00174	ko00010	Glycolysis / Gluconeogenesis
K00175	ko00010	Glycolysis / Gluconeogenesis
K00016	ko00010	Glycolysis / Gluconeogenesis
K01568	ko00010	Glycolysis / Gluconeogenesis
K13951	ko00010	Glycolysis / Gluconeogenesis
K13980	ko00010	Glycolysis / Gluconeogenesis
K00121	ko00010	Glycolysis / Gluconeogenesis
K13952	ko00010	Glycolysis / Gluconeogenesis
K04072	ko00010	Glycolysis / Gluconeogenesis
K13953	ko00010	Glycolysis / Gluconeogenesis
K13954	ko00010	Glycolysis / Gluconeogenesis
K18857	ko00010	Glycolysis / Gluconeogenesis
K00001	ko00010	Glycolysis / Gluconeogenesis
K00002	ko00010	Glycolysis / Gluconeogenesis
K12957	ko00010	Glycolysis / Gluconeogenesis
K13979	ko00010	Glycolysis / Gluconeogenesis
K14028	ko00010	Glycolysis / Gluconeogenesis
K14029	ko00010	Glycolysis / Gluconeogenesis
K00114	ko00010	Glycolysis / Gluconeogenesis
K04022	ko00010	Glycolysis / Gluconeogenesis
K22473	ko00010	Glycolysis / Gluconeogenesis
K22474	ko00010	Glycolysis / Gluconeogenesis
K00128	ko00010	Glycolysis / Gluconeogenesis
K14085	ko00010	Glycolysis / Gluconeogenesis
K00149	ko00010	Glycolysis / Gluconeogenesis
K00129	ko00010	Glycolysis / Gluconeogenesis
K00138	ko00010	Glycolysis / Gluconeogenesis
K01895	ko00010	Glycolysis / Gluconeogenesis
K01913	ko00010	Glycolysis / Gluconeogenesis
K01905	ko00010	Glycolysis / Gluconeogenesis
K22224	ko00010	Glycolysis / Gluconeogenesis
K24012	ko00010	Glycolysis / Gluconeogenesis
K01785	ko00010	Glycolysis / Gluconeogenesis
K01085	ko00010	Glycolysis / Gluconeogenesis
K20866	ko00010	Glycolysis / Gluconeogenesis
K01835	ko00010	Glycolysis / Gluconeogenesis
K15778	ko00010	Glycolysis / Gluconeogenesis
K15779	ko00010	Glycolysis / Gluconeogenesis
K01084	ko00010	Glycolysis / Gluconeogenesis
K00886	ko00010	Glycolysis / Gluconeogenesis
K08074	ko00010	Glycolysis / Gluconeogenesis
K01792	ko00010	Glycolysis / Gluconeogenesis
K01837	ko00010	Glycolysis / Gluconeogenesis
K03103	ko00010	Glycolysis / Gluconeogenesis
K11389	ko00010	Glycolysis / Gluconeogenesis
K00131	ko00010	Glycolysis / Gluconeogenesis
K18978	ko00010	Glycolysis / Gluconeogenesis
K01596	ko00010	Glycolysis / Gluconeogenesis
K01610	ko00010	Glycolysis / Gluconeogenesis
K01222	ko00010	Glycolysis / Gluconeogenesis
K01223	ko00010	Glycolysis / Gluconeogenesis
K02777	ko00010	Glycolysis / Gluconeogenesis
K02779	ko00010	Glycolysis / Gluconeogenesis
K02791	ko00010	Glycolysis / Gluconeogenesis
K20118	ko00010	Glycolysis / Gluconeogenesis
K02753	ko00010	Glycolysis / Gluconeogenesis
K01647	ko00020	Citrate cycle (TCA cycle)
K01648	ko00020	Citrate cycle (TCA cycle)
K15230	ko00020	Citrate cycle (TCA cycle)
K15231	ko00020	Citrate cycle (TCA cycle)
K05942	ko00020	Citrate cycle (TCA cycle)
K01681	ko00020	Citrate cycle (TCA cycle)
K01682	ko00020	Citrate cycle (TCA cycle)
K00031	ko00020	Citrate cycle (TCA cycle)
K00030	ko00020	Citrate cycle (TCA cycle)
K17753	ko00020	Citrate cycle (TCA cycle)
K00164	ko00020	Citrate cycle (TCA cycle)
K00658	ko00020	Citrate cycle (TCA cycle)
K01616	ko00020	Citrate cycle (TCA cycle)
K00382	ko00020	Citrate cycle (TCA cycle)
K00174	ko00020	Citrate cycle (TCA cycle)
K00175	ko00020	Citrate cycle (TCA cycle)
K00177	ko00020	Citrate cycle (TCA cycle)
K00176	ko00020	Citrate cycle (TCA cycle)
K01902	ko00020	Citrate cycle (TCA cycle)
K01903	ko00020	Citrate cycle (TCA cycle)
K01899	ko00020	Citrate cycle (TCA cycle)
K01900	ko00020	Citrate cycle (TCA cycle)
K18118	ko00020	Citrate cycle (TCA cycle)
K00234	ko00020	Citrate cycle (TCA cycle)
K00235	ko00020	Citrate cycle (TCA cycle)
K00236	ko00020	Citrate cycle (TCA cycle)
K00237	ko00020	Citrate cycle (TCA cycle)
K25801	ko00020	Citrate cycle (TCA cycle)
K00239	ko00020	Citrate cycle (TCA cycle)
K00240	ko00020	Citrate cycle (TCA cycle)
K00241	ko00020	Citrate cycle (TCA cycle)
K00242	ko00020	Citrate cycle (TCA cycle)
K18859	ko00020	Citrate cycle (TCA cycle)
K18860	ko00020	Citrate cycle (TCA cycle)
K00244	ko00020	Citrate cycle (TCA cycle)
K00245	ko00020	Citrate cycle (TCA cycle)
K00246	ko00020	Citrate cycle (TCA cycle)
K00247	ko00020	Citrate cycle (TCA cycle)
K00233	ko00020	Citrate cycle (TCA cycle)
K25995	ko00020	Citrate cycle (TCA cycle)
K25996	ko00020	Citrate cycle (TCA cycle)
K26318	ko00020	Citrate cycle (TCA cycle)
K01676	ko00020	Citrate cycle (TCA cycle)
K01677	ko00020	Citrate cycle (TCA cycle)
K01678	ko00020	Citrate cycle (TCA cycle)
K01679	ko00020	Citrate cycle (TCA cycle)
K01675	ko00020	Citrate cycle (TCA cycle)
K01774	ko00020	Citrate cycle (TCA cycle)
K00025	ko00020	Citrate cycle (TCA cycle)
K00026	ko00020	Citrate cycle (TCA cycle)
K00024	ko00020	Citrate cycle (TCA cycle)
K00116	ko00020	Citrate cycle (TCA cycle)
K01958	ko00020	Citrate cycle (TCA cycle)
K01959	ko00020	Citrate cycle (TCA cycle)
K01960	ko00020	Citrate cycle (TCA cycle)
K01610	ko00020	Citrate cycle (TCA cycle)
K01596	ko00020	Citrate cycle (TCA cycle)
K00163	ko00020	Citrate cycle (TCA cycle)
K00161	ko00020	Citrate cycle (TCA cycle)
K00162	ko00020	Citrate cycle (TCA cycle)
K00627	ko00020	Citrate cycle (TCA cycle)
K13997	ko00020	Citrate cycle (TCA cycle)
K00169	ko00020	Citrate cycle (TCA cycle)
K00170	ko00020	Citrate cycle (TCA cycle)
K00172	ko00020	Citrate cycle (TCA cycle)
K00189	ko00020	Citrate cycle (TCA cycle)
K00171	ko00020	Citrate cycle (TCA cycle)
K03737	ko00020	Citrate cycle (TCA cycle)
K01810	ko00030	Pentose phosphate pathway
K06859	ko00030	Pentose phosphate pathway
K13810	ko00030	Pentose phosphate pathway
K15916	ko00030	Pentose phosphate pathway
K00036	ko00030	Pentose phosphate pathway
K19243	ko00030	Pentose phosphate pathway
K01057	ko00030	Pentose phosphate pathway
K07404	ko00030	Pentose phosphate pathway
K13937	ko00030	Pentose phosphate pathway
K00033	ko00030	Pentose phosphate pathway
K01783	ko00030	Pentose phosphate pathway
