# gene name           KO     thrshld  score   E-value KO definition
* LOC_Os09g12650.1    K00895  225.13  622.9  5.3e-187 diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
* LOC_Os09g12660.1    K00975  200.30  653.3  1.1e-196 glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
* LOC_Os09g12660.2    K00975  200.30  653.3  1.1e-196 glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
* LOC_Os09g12710.1    K12880  184.20  440.3  3.2e-132 THO complex subunit 3
* LOC_Os09g12780.1    K11270   42.77  153.6     3e-45 chromosome transmission fidelity protein 8
* LOC_Os09g12790.1    K05389  139.83  353.8  1.3e-105 potassium channel subfamily K, other eukaryote
* LOC_Os09g12820.1    K07497   14.00   20.0   0.00023 putative transposase
* LOC_Os09g12890.1    K07497   14.00   28.5   5.9e-07 putative transposase
* LOC_Os09g12930.1    K07497   14.00   38.6   4.9e-10 putative transposase
* LOC_Os09g12940.1    K07497   14.00   27.7     1e-06 putative transposase
* LOC_Os09g13060.1    K07497   14.00   28.8   4.8e-07 putative transposase
* LOC_Os09g13180.1    K07497   14.00   27.3   1.3e-06 putative transposase
* LOC_Os09g13230.1    K07497   14.00   29.3   3.2e-07 putative transposase
* LOC_Os09g13570.1    K25786  103.13  154.2   1.9e-45 bZIP transcription factor 1/2/11/44/53
* LOC_Os09g13575.1    K25786  103.13  154.2   1.9e-45 bZIP transcription factor 1/2/11/44/53
* LOC_Os09g13610.1    K15168  160.43  429.8  1.4e-128 mediator of RNA polymerase II transcription subunit 25
* LOC_Os09g13610.3    K15168  160.43  342.8  2.7e-102 mediator of RNA polymerase II transcription subunit 25
* LOC_Os09g13630.1    K11463  115.97  130.9   3.2e-38 polycomb protein SUZ12
* LOC_Os09g13710.1    K07497   14.00   27.0   1.7e-06 putative transposase
* LOC_Os09g13750.1    K07497   14.00   26.1   3.1e-06 putative transposase
* LOC_Os09g13790.1    K07497   14.00   43.8   1.2e-11 putative transposase
* LOC_Os09g13870.3    K18693  185.87  396.6  6.5e-119 diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.6.1.75 3.1.3.4]
* LOC_Os09g13870.1    K18693  185.87  396.6  6.5e-119 diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.6.1.75 3.1.3.4]
* LOC_Os09g13870.2    K18693  185.87  396.6  6.5e-119 diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.6.1.75 3.1.3.4]
* LOC_Os09g13870.4    K18693  185.87  360.4  6.6e-108 diacylglycerol diphosphate phosphatase / phosphatidate phosphatase [EC:3.6.1.75 3.1.3.4]
* LOC_Os09g13980.1    K07497   14.00   35.1   5.7e-09 putative transposase
* LOC_Os09g14010.1    K13459  442.20  753.8  2.1e-226 disease resistance protein RPS2
* LOC_Os09g14040.1    K17604  159.30  484.1    5e-145 zinc finger SWIM domain-containing protein 3
* LOC_Os09g14060.1    K13459  442.20  718.4  9.8e-216 disease resistance protein RPS2
* LOC_Os09g14100.1    K13459  442.20  744.6  1.2e-223 disease resistance protein RPS2
* LOC_Os09g14200.1    K07497   14.00   35.5   4.4e-09 putative transposase
* LOC_Os09g14280.1    K07497   14.00   25.3   5.3e-06 putative transposase
* LOC_Os09g14320.1    K07497   14.00   24.3   1.1e-05 putative transposase
* LOC_Os09g14510.3    K13336   84.73  194.4   1.6e-57 peroxin-3
* LOC_Os09g14510.1    K13336   84.73  323.3   1.3e-96 peroxin-3
* LOC_Os09g14510.2    K13336   84.73  245.6   4.8e-73 peroxin-3
* LOC_Os09g14520.1    K26223  482.47  615.8    2e-185 GDP-fucose transporter
* LOC_Os09g14540.1    K17500  268.50  418.7  1.6e-125 integrin-linked kinase-associated serine/threonine phosphatase 2C [EC:3.1.3.16]
* LOC_Os09g14590.1    K11599   46.97  129.8     7e-38 proteasome maturation protein
* LOC_Os09g14610.1    K11592  329.83  553.9  4.3e-166 endoribonuclease Dicer [EC:3.1.26.-]
* LOC_Os09g14610.2    K11592  329.83  536.3  8.9e-161 endoribonuclease Dicer [EC:3.1.26.-]
* LOC_Os09g14670.1    K01595   44.63 1210.0         0 phosphoenolpyruvate carboxylase [EC:4.1.1.31]
* LOC_Os09g14680.1    K19937  178.97  377.3  9.5e-113 Rab3 GTPase-activating protein non-catalytic subunit
* LOC_Os09g14700.1    K23953  180.20  345.5    2e-103 plant cysteine oxidase [EC:1.13.11.-]
* LOC_Os09g14700.2    K23953  180.20  339.3  1.5e-101 plant cysteine oxidase [EC:1.13.11.-]
* LOC_Os09g14790.1    K07497   14.00   22.0   5.5e-05 putative transposase
* LOC_Os09g14930.1    K07497   14.00   34.6   8.2e-09 putative transposase
* LOC_Os09g15030.1    K07497   14.00   30.5   1.4e-07 putative transposase
* LOC_Os09g15130.1    K07497   14.00   30.8   1.2e-07 putative transposase
* LOC_Os09g15320.2    K10579  178.70  338.1  3.4e-101 ubiquitin-conjugating enzyme E2 M [EC:2.3.2.34]
* LOC_Os09g15320.1    K10579  178.70  338.1  3.4e-101 ubiquitin-conjugating enzyme E2 M [EC:2.3.2.34]
* LOC_Os09g15420.1    K01784  261.00  489.5  6.3e-147 UDP-glucose 4-epimerase [EC:5.1.3.2]
* LOC_Os09g15500.1    K00430  110.93  382.7  2.2e-114 peroxidase [EC:1.11.1.7]
* LOC_Os09g15510.1    K00430  110.93  372.5  2.7e-111 peroxidase [EC:1.11.1.7]
* LOC_Os09g15670.1    K14497  286.43  453.5  5.4e-136 protein phosphatase 2C [EC:3.1.3.16]
* LOC_Os09g15700.1    K00924  367.67  375.1  4.1e-112 kinase [EC:2.7.1.-]
* LOC_Os09g15750.1    K03028  362.30 1489.7         0 26S proteasome regulatory subunit N1
* LOC_Os09g15760.1    K22939   40.30  116.6   6.4e-34 immediate early response 3-interacting protein 1
* LOC_Os09g15770.1    K03262  131.83  514.7  2.1e-154 translation initiation factor 5
* LOC_Os09g15775.1    K03262  131.83  514.7  2.1e-154 translation initiation factor 5
* LOC_Os09g15790.1    K07904  360.10  424.9  1.1e-127 Ras-related protein Rab-11A
* LOC_Os09g15800.1    K23541   38.97  190.8   2.8e-56 Ca2+/H+ antiporter, TMEM165/GDT1 family
* LOC_Os09g15820.2    K01792  107.40  243.0   2.6e-72 glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
* LOC_Os09g15820.1    K01792  107.40  325.6   3.1e-97 glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
* LOC_Os09g15835.1    K17609   48.83   82.5   1.2e-23 nucleoredoxin [EC:1.8.1.8]
* LOC_Os09g16290.1    K08711 1282.33 1710.5         0 ATP-binding cassette, subfamily G (WHITE), member 2, PDR
* LOC_Os09g16330.2    K08711 1282.33 1893.1         0 ATP-binding cassette, subfamily G (WHITE), member 2, PDR
* LOC_Os09g16360.1    K07497   14.00   31.4   7.5e-08 putative transposase
* LOC_Os09g16380.1    K08711 1282.33 1788.9         0 ATP-binding cassette, subfamily G (WHITE), member 2, PDR
* LOC_Os09g16850.1    K10523  143.27  181.7   1.7e-53 speckle-type POZ protein
* LOC_Os09g16870.1    K10523  143.27  210.4   3.4e-62 speckle-type POZ protein
* LOC_Os09g16910.3    K04487  279.90  683.3  1.1e-205 cysteine desulfurase [EC:2.8.1.7]
* LOC_Os09g16910.1    K04487  279.90  683.3  1.1e-205 cysteine desulfurase [EC:2.8.1.7]
* LOC_Os09g16910.2    K04487  279.90  683.3  1.1e-205 cysteine desulfurase [EC:2.8.1.7]
* LOC_Os09g16920.1    K21737  694.60  699.4  1.4e-210 acyl-lipid Delta6-acetylenase / acyl-lipid (9-3)-desaturase [EC:1.14.19.38 1.14.19.47]
* LOC_Os09g16930.1    K07497   14.00   22.0   5.3e-05 putative transposase
* LOC_Os09g17390.1    K07497   14.00   37.6   9.8e-10 putative transposase
* LOC_Os09g17400.1    K07497   14.00   26.5   2.3e-06 putative transposase
* LOC_Os09g17410.1    K07497   14.00   25.6   4.4e-06 putative transposase
* LOC_Os09g17450.1    K07497   14.00   28.5   5.9e-07 putative transposase
* LOC_Os09g17600.3    K07090   39.37   45.9   2.3e-12 uncharacterized protein
* LOC_Os09g17600.1    K07090   39.37   45.9   2.3e-12 uncharacterized protein
* LOC_Os09g17600.2    K07090   39.37   45.9   2.3e-12 uncharacterized protein
* LOC_Os09g17680.1    K00858   35.53  134.2   3.3e-39 NAD+ kinase [EC:2.7.1.23]
* LOC_Os09g17740.1    K08912  641.93  685.2  7.3e-206 light-harvesting complex II chlorophyll a/b binding protein 1
* LOC_Os09g17810.1    K07195   66.20  112.6   1.1e-32 exocyst complex component 7
* LOC_Os09g17830.1    K10956  401.37  876.3  4.7e-264 protein transport protein SEC61 subunit alpha
* LOC_Os09g17840.1    K10956  401.37  876.3  4.7e-264 protein transport protein SEC61 subunit alpha
* LOC_Os09g17850.1    K11303  130.43  315.1   5.3e-94 histone acetyltransferase 1 [EC:2.3.1.48]
* LOC_Os09g17870.2    K06210  101.70  111.4   2.3e-32 nicotinamide mononucleotide adenylyltransferase [EC:2.7.7.1 2.7.7.18]
* LOC_Os09g17870.1    K06210  101.70  228.1   9.2e-68 nicotinamide mononucleotide adenylyltransferase [EC:2.7.7.1 2.7.7.18]
* LOC_Os09g18320.1    K14797  185.57  581.0  1.2e-174 essential nuclear protein 1
* LOC_Os09g18430.1    K23222   77.00  109.6   7.7e-32 nuclease HARBI1 [EC:3.1.-.-]
* LOC_Os09g19550.1    K08506   81.90  337.3  7.1e-101 syntaxin of plants SYP7
* LOC_Os09g19560.1    K11434  469.23  576.9    2e-173 type I protein arginine methyltransferase [EC:2.1.1.319]
* LOC_Os09g19620.1    K07497   14.00   25.2   5.8e-06 putative transposase
